Price,Details,Area,Location,Link
UNDER CONTRACT,"['2 bedrooms', '2 bathrooms', '1 parking space']",94 m² building size,"58/40 Ramsgate Street, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141259276
UNDER CONTRACT,"['4 bedrooms', '2 bathrooms', '1 parking space']",627 m² land size,"29 Tait Street, Kelvin Grove",https://www.realestate.com.au/property-house-qld-kelvin+grove-140685203
Auction,"['4 bedrooms', '3 bathrooms', '2 parking spaces']",519 m² land size,"18 Broadhurst Street, Kelvin Grove",https://www.realestate.com.au/property-house-qld-kelvin+grove-141486392
For Sale,"['1 bedroom', '1 bathroom', '1 parking space']",[],"2406/59 Blamey Street, Kelvin Grove",https://www.realestate.com.au/property-unit-qld-kelvin+grove-141742816
"Offers Over $590,000","['2 bedrooms', '2 bathrooms', '1 parking space']",170 m² building size,"2 Bedroom/40 Ramsgate Street, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141369172
Under Contract,"['2 bedrooms', '1 bathroom', '1 parking space']",115 m² building size,"2/39 Gibb Street, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141364120
Contact Agent,"['2 bedrooms', '1 bathroom', '1 parking space']",49 m² building size,"4/6 Rochester Terrace, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141244304
Under Contract,"['2 bedrooms', '2 bathrooms', '1 parking space']",91 m² building size,"202/158 Victoria Park Road, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141489996
"Offers over $825,000","['3 bedrooms', '2 bathrooms', '2 parking spaces']",98 m² land size,"910/41 Ramsgate Street, Kelvin Grove",https://www.realestate.com.au/property-unit-qld-kelvin+grove-141240968
For Sale,"['2 bedrooms', '2 bathrooms', '1 parking space']",117 m² building size,"2610/59 Blamey Street, Kelvin Grove",https://www.realestate.com.au/property-unit-qld-kelvin+grove-141479072
Inviting offers,"['1 bedroom', '1 bathroom', '1 parking space']",[],"912/31 Musk Avenue, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141476156
For Sale Now,"['3 bedrooms', '2 bathrooms', '2 parking spaces']",326 m² land size,"33 White Street, Kelvin Grove",https://www.realestate.com.au/property-house-qld-kelvin+grove-141344852
Contact Agent,"['1 bedroom', '1 bathroom', '1 parking space']",63 m² land size,"705/31 Musk Avenue, Kelvin Grove",https://www.realestate.com.au/property-unit-qld-kelvin+grove-141231304
For Sale,"['1 bedroom', '1 bathroom', '1 parking space']",[],"711/148 Victoria Park Rd, Kelvin Grove",https://www.realestate.com.au/property-house-qld-kelvin+grove-141469408
For Sale,"['2 bedrooms', 'study', '2 bathrooms', '1 parking space']",78 m² building size,"1204/31 Musk Avenue, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141465240
"From $360,000","['1 bedroom', '1 bathroom', '1 parking space']",63 m² building size,"23/31 Ramsgate Street, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141595368
Under Contract,"['2 bedrooms', '2 bathrooms', '1 parking space']",95.3 m² building size,"302/148 Victoria Park Road, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141589908
"Offers Over $650,000","['2 bedrooms', '2 bathrooms', '1 parking space']",[],"5/41 School Street, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141714892
Auction Saturday 15th April at 12pm On-Site,"['5 bedrooms', '2 bathrooms', '1 parking space']",152 m² land size,"6 Emeline Street, Kelvin Grove",https://www.realestate.com.au/property-house-qld-kelvin+grove-141720224
FOR SALE,"['3 bedrooms', '1 bathroom', '1 parking space']",503 m² land size,"35 Vale Street, Kelvin Grove",https://www.realestate.com.au/property-house-qld-kelvin+grove-141579304
Offers over $1.75M,"['4 bedrooms', 'study', '3 bathrooms', '2 parking spaces']",282 m² land size,"52 Franklin Street, Kelvin Grove",https://www.realestate.com.au/property-house-qld-kelvin+grove-141156972
"INTEREST ABOVE $379,000","['1 bedroom', '1 bathroom', '1 parking space']",[],"904/148 Victoria Park Road, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141188660
"$450,000","['2 bedrooms', '2 bathrooms', '1 parking space']",[],"29/63 Vale Street, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141418016
UNDER CONTRACT,"['1 bedroom', '1 bathroom', '1 parking space']",81 m² building size,"6/73 Glen Street, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141179256
"$509,000+","['2 bedrooms', '1 bathroom', '1 parking space']",[],"206/158 Victoria Park Road, Kelvin Grove",https://www.realestate.com.au/property-apartment-qld-kelvin+grove-141411336
